안타깝다;tiếc nuối
떠오르다;nhớ, hiện lên
순간;khoảnh khắc
우정;tình bạn
성풍기 틀다;bật quạt
가득;đầy rẫy
양치질;việc đánh răng
이가다 >< 지다;thắng >< thua
택배;giao hàng tận nơi
자라다;phát triển, trưởng thành
달라지다;trở nên khác
분리수거;phân loại thu gom
세척;sự rửa sạch
램프;đèn dầu
언젠가;lúc nào đó
전혀;hoàn toàn
해당되다;được tương xứng
수없이;vô số
격차;sự chênh lệch
결삭다;làm nản lòng
등달다;lo lắng, hồi hộp, bồn chồn
가만있다;ở yên đó
군사람;người vô dụng
얼른;nhanh chóng
살을 빼다;giảm cân
낡다;cũ
분과하다;không quá, chỉ
끊기다;bị ngắt, bị dừng, bị gián đoạn
피부;da
가습기;máy tạo độ ẩm
축축하다;ẩm ướt
접다;gấp lại
젖다;ẩm ướt, thấm
머릿결;làn tóc
머리를 감다;gội đầu
높낮이;độ cao thấp
바퀴;bánh xe
첫인상;ấn tượng đầu tiên
똑똑히;thông minh
뛰어가다 = 달리다;chạy
영원히;vĩnh viễn
창피하다;xấu hổ
칭찬하다;khen ngợi
당황스럽다;bối rối, hoang mang
옳다;đúng đắng
연기;dời, hoãn, diễn, khói
태어나다;sinh ra
혼동;lẫn lộn, nhầm lẫn
캠퍼인;chiến dịch
젊은이;người trẻ
마음껏;hết lòng
꺼내다;lấy ra
소통하다;thông suốt, thông hiểu
보풀다;xù lông
치감다;quần ngược lên, quấn lên
밀반입하다;nhập lậu
사람을 버리다;mất nhân tích
저장하다;lưu trữ
운전 면허증;bằng lái xe
마치다;chấm dứt, end
하도;quá mức
따름 ~ 뿐;chỉ
선명하다;rõ ràng
승차감;cảm giác an toàn khi lên xe
건조하다;khô ráo
소나기;mưa rào
펴다;mở ra, giang, xoè
샴푸;dầu gội đầu
머리카락;tóc
정수기;bình lọc nước
조절하다;điều chỉnh
비추다;soi chiếu, rọi, gợi ý
든든하다;chắc chắn, đáng tin cậy
뿌리다;rơi, rải , phung phí
호감;hảo cảm
곰팡이 ~ 균류;nấm mốc
농액;mủ vết thương
장난감;đồ chơi
염색약;thuốc nhộm tóc
체온계;nhiệt độ cơ thể
흡수하다;hấp thụ
비누;xà phòng
끼다;đeo
베개;cái gối
신선도;độ tươi mới 
달력;lịch
빛나다;phát sáng, toả sáng
향기롭다;thơm
전시하다;triển lãm
신속하다;nhanh chóng, thần tốc
소중하다;quý báu
원목;gỗ nguyên thố
무농약야채;rau không thuốc trừ sâu
망가지다;bị hỏng
주유소;trạm xăng
재산;tài sản
매매;việc bán
선정적;tính khiêu khích, tính kích dục
(명사)에 관계없이;không liên quan tới N
흥행;thắng lớn
향수;nước hoa
공기순환;tuần hoàn ko khí
습기;độ ẩm
농약;thuốc trừ sâu
뚜껑;cái nắp nồi
가리다;chọn , ngại, phân biệt, che
안약;thuốc nhỏ mắt
배출하다;thải ra
덮다;đắp
메다;đeo, mang
장갑;găng tay
접시;đĩa
세제;bột giặt
눕다;nằm
흐릿하다;mờ, lơ mơ
실내;trong phòng
문구점;văn phòng phẩm
화가;hoạ sĩ
소음;tiếng ồn
친환경;thân thiện với môi trường
세차;sự rửa xe
수술하다;phẫu thuật
신탁하다;tín thác
중고차;xe cũ
나뉘다;được chia sẻ
푹력적이다;mang tính bạo lực
부딪히다;đâm vào
구름이 끼다;mây kéo đến
귀찮다;phiền
이불;cái mền
라이터;bật lửa
사용 소감 = 이용 후기;feedback
음주;việc uống rượu
보살피다;chăm sóc
흔들리다;rung lắc
추억 = 기억;kí ức
부드럽다;mềm
봄맞이;sự đón xuân
짜증나다;tức giận
동서양;đông tây hướng
완비;chuẩn bị đầy đủ
예식장;nhà hàng tiệc cưới
달콤하다;ngọt
일회용품;sp dùng 1 lần
잠그다;tắt, khoá lại, vặn lại
장수;trường thọ
가전제품;đồ điện
빼다;tháo ra
잘못 절려온 전화;cuộc gọi nhầm
상처가 나다;bị thương
더욱;hơn nữa
바둑;cờ vây
전자레인지;lò vi sóng
가렵다;ngứa
가급적;nếu như có thể
신형;hình dạng mới
꾸미다;trang trí
